Word,Frequency
000,6
10,22085
100,7933
101,670
102,614
103,590
104,422
109,397
10keyless,1
10th,935
11,9018
111,281
112,477
115,504
118,531
119,215
11th,420
12,11943
120,941
122,417
124,225
126,475
127,195
128,219
129,157
12th,483
13,8156
133,164
134,218
134th,8
137,199
139,133
13th,361
14,8017
140,1050
142,477
143,258
144,401
145,500
146,139
1461,6
14th,369
15,12658
150,1875
151,122
152,303
155,169
156,136
158,87
15th,495
16,7229
160,552
161,128
163,346
164,202
165,204
166,217
16th,975
17,6676
170,366
174,111
175,260
176,104
177,122
178,127
17th,664
18,7552
185,131
186,117
187,122
189,128
18th,1768
19,9110
190,236
191,236
193,103
194,204
195,146
196,230
1994,455
1999,649
19th,309
1st,573
20,15088
200,3426
2000,735
2014,4232
2015,2534
2016,2893
2018,3002
2019,8724
2020,5289
2021,6029
2022,6179
2023,8503
2024,15774
2025,11855
2036,88
204,110
2047,679
205,102
208,105
209,110
20th,439
21,6961
211,105
215,287
216,81
217,117
21st,469
22,7589
222,89
226,168
229,197
22nd,226
23,6170
232,129
23rd,272
24,8819
246,48
24th,209
25,11448
250,988
255,87
25th,283
26,8592
261,70
264,59
26th,226
27,5933
27th,151
28,6288
284,82
28th,154
29,4946
29th,104
2nd,572
30,11421
300,2174
30th,121
31,4241
315,150
319,83
31st,136
32,2567
33,2083
330,119
331,38
34,1704
35,3172
36,2048
37,1857
370,1641
38,1634
39,2208
399,50
3d,270
3rd,880
3w,9
40,6660
400,2302
41,1575
42,2413
43,1347
44,1301
45,3209
46,1963
47,1388
477,19
48,3255
49,1170
4g,73
4th,469
50,8789
500,3134
5000,65
51,1078
52,1132
53,851
54,948
543,1170
55,1503
56,1272
57,1634
58,987
59,752
5th,794
5w,4
60,4624
600,952
61,875
616,7
62,979
63,799
63rd,15
64,996
65,1713
66,771
66th,11
67,966
68,688
69,549
6th,421
70,3975
700,695
72,1870
73,579
74,868
75,2334
76,581
77,911
78,633
787,301
79,591
7th,355
80,3380
800,649
8000,12
81,959
8140,2
82,579
83,697
84,528
85,974
87,480
89,1054
8th,220
90,3873
9000,7
91,374
94,710
950,46
96,731
970,34
98,430
99,730
9th,218
aadmi,2997
aam,2983
aap,17803
aaye,63
aayush,13
ab,360
abbas,349
abdominal,215
abdul,1231
abg,1
abhijit,549
abhishek,6010
ability,1999
abishek,25
ablaze,333
able,5182
abound,23
abrogated,69
abrogation,672
absence,3259
absorbs,29
absorption,111
abuse,3099
accelerating,329
acceptable,770
access,7559
accessibility,511
accessible,1162
accident,9887
accidental,869
accolade,86
accompanying,543
accomplish,44
according,18625
accordingly,1544
account,10799
accumulating,84
accuracy,434
accurate,807
accused,42726
acetate,4
achampet,7
achieve,1818
achieved,2077
achievement,1886
achieving,875
acid,691
acidity,32
acknowledged,1982
acne,23
acquired,1175
acquisition,1667
act,26615
acted,1688
acting,2549
action,28959
activated,508
active,4026
actively,1810
activity,12775
actor,5889
actress,782
actressshraddha,2
acute,568
adajania,2
adam,95
adapt,308
add,2748
added,24595
adding,12851
addition,3214
additional,10404
additionally,1764
address,10173
addressed,3535
addressing,4727
adequate,2265
adhere,486
adhir,358
adidas,36
aditya,824
adjustable,25
administration,10294
administrator,623
admiration,228
admirer,153
admitted,5155
adopt,1099
adoption,1246
adopts,43
adorable,13
adorned,177
adrienne,3
advanced,3985
advancement,624
advani,418
advantage,1729
adventure,266
adversely,437
advised,3968
advising,390
advisory,3300
aesthetic,248
affair,11683
affect,2777
affected,7408
affecting,1762
affection,592
affiliate,149
affirming,127
afford,771
affordable,1113
afghanistan,1546
african,555
afspa,120
afternoon,4544
agatha,61
age,5783
ageing,423
agency,23733
aggressive,1162
agm,129
ahead,10718
ahmad,1686
ahmed,2387
ahmedabad,3470
ai,9640
aiden,4
aim,5287
aimed,4850
aiming,1154
air,25743
airborne,372
aircraft,9969
airfare,166
airflow,27
airless,2
airline,5396
airliner,30
airport,15816
airspace,1264
aish,1
aitc,1278
aizawl,107
aj,45
ajay,2179
ajinkya,38
ajit,5149
akash,1188
akshay,391
al,855
alarming,613
alaya,2
album,167
alcohol,1843
alert,5969
alerting,135
algur,173
ali,3811
alia,134
alignment,694
alike,318
alipurduar,355
allahbadia,407
allegation,13460
alleged,37027
allegedly,27449
allergic,60
allergy,134
alliance,17950
allocate,315
allocation,3646
allow,4795
allowing,3757
allows,1579
ally,5660
aloe,18
alongside,3090
alternate,565
alternative,3048
amaravati,982
amassed,180
amazing,215
amazon,295
ambassador,1637
ambedka,1
ambedkar,2098
ambedkarism,2
ambit,392
ameesha,16
amended,802
amendment,5310
amenity,854
american,2438
amid,12140
amidst,953
amit,11342
ampareen,5
ample,213
amrita,464
anaemia,104
anaita,2
analysed,625
analysing,403
analysis,2918
analyst,1011
analyze,50
analyzed,45
anand,2914
anandaswamy,174
anchor,300
andaman,577
andhra,8121
andre,34
anganwadi,315
angkrish,6
ani,5765
anjali,413
anjan,31
ankita,127
anmol,661
anna,1533
annadata,15
anniversary,1887
announce,1142
announced,14604
announcement,4313
annual,3951
anrich,7
answer,4810
answering,192
antagonist,20
anti,111
antic,41
anticipate,209
anticipated,1057
anticipation,283
antioxidant,25
anukul,8
anusandhan,24
anybody,502
apartment,2722
apcc,19
apne,72
apoorvamehta18,1
app,2851
apparent,842
appartment,1
appeal,6612
appealed,2458
appearance,1048
appeared,4749
appears,2996
application,7080
apply,1985
appointed,5334
appreciated,821
appreciating,195
approach,6672
approaching,961
approval,4244
approve,311
approved,4130
approx,171
approximate,66
approximately,3065
apr,507
april,17994
apsara,67
aquarius,11
arambag,188
arbaaz,44
architect,599
area,36987
argued,4997
aries,23
arm,3443
armed,5209
army,10467
arora,776
arpita,87
arpu,4
arrangement,4977
array,244
arrest,12193
arrested,23059
arrival,2964
arrogance,466
arshad,303
arshdeep,70
artefact,131
article,8570
artificial,1685
artist,1336
arulmani,10
arun,1469
arunachal,3123
arvind,5980
aryan,417
asansol,577
ascend,23
ascertain,1366
ashok,2824
ashutosh,688
ashwin,127
asia,4070
asics,9
aside,1617
ask,4042
asked,22180
asking,4753
aspect,2225
aspiration,2225
assam,9597
assault,6138
assembly,38782
asserted,3381
asserting,1539
asserts,119
assessment,2750
asset,4489
assigned,1451
assistance,4794
assisted,728
associated,3813
association,7736
assured,3866
astounding,22
astro,10
astrologer,276
atal,726
ate,168
atishi,1536
atop,311
attack,25870
attacked,5281
attacking,1200
attempt,10125
attempted,3465
attended,5550
attending,1749
attention,4946
attire,459
attract,1303
attracted,528
attracting,452
attributed,1790
audience,1456
audiologist,1
auditor,336
august,7689
austerity,88
australia,1373
australian,582
authority,24815
auto,2356
automobile,512
auxiliary,109
avail,507
availability,1613
available,6478
avenue,1020
average,4558
aversion,30
avesh,9
avg,17
aviv,185
avoid,4723
avoiding,723
awaited,982
awaits,222
award,3105
awarded,2088
aware,2706
awareness,3386
awas,1215
away,13066
axar,14
ayatollah,274
ayodhya,3188
ayush,509
ayushman,654
azmatullah,7
b3,9
baat,485
babasaheb,326
babu,1667
baby,2107
bacca,7
bachao,283
bachchan,200
backend,34
backlight,2
backlighting,5
backlit,17
backward,1932
backyard,105
bad,1858
bade,56
badge,145
badoni,6
bagalkot,295
baghel,596
bahar,48
baharampur,740
bail,9068
bairstow,6
bala,377
balaji,729
